landslide_size,fatality_count,longitude,latitude
medium,0,75.6355,35.3585
medium,,84.06527738,27.99134853
unknown,0,-117.262,45.976
medium,,-2.9339,51.3255
small,0,-120.4218,38.7987
medium,0,108.7431,14.8315
small,1,85.5641,27.5269
small,0,-3.3002,53.3297
unknown,0,-122.8697,45.9816
large,23,123.304,8.4987
very_large,,6.852,46.7191
medium,0,-43.2394,-22.9033
small,0,-122.376,47.7166
medium,0,-71.489,-15.345
small,0,-83.3268,9.1464
large,0,80.67,29.58
small,,-43.2087,-22.5444
medium,,-84.397,9.764
medium,0,94.1078,24.1419
medium,0,-77.5191,42.7167
medium,,120.6,18.23
large,0,105.3131,19.9436
medium,0,-106.4031,39.5672
medium,0,103.3535,-0.6086
large,22,107.3407,26.9226
medium,0,-105.8752,40.0929
medium,2,-72.3902,-13.2122
small,0,-122.3811,47.636
small,,-4.9527,50.4444
small,0,103.2764,-0.5229
large,0,103.6653085,32.08059703
medium,0,79.0765,30.4619
large,1,78.3221,30.1281
medium,0,73.4637,34.6644
medium,0,-121.7675,37.6815
large,,111.1835,-7.6511
medium,0,-48.8907,-1.7225
large,29,-87.2137,14.108
medium,0,-43.288,-23.0099
medium,,-2.2651,57.6778
small,0,-122.547,37.9768
unknown,0,-123.7807,45.8269
medium,0,75.203,33.3893
small,0,145.8596,-41.0415
large,20,113.5578,29.3046
medium,,-123.1628,47.3434
unknown,0,-122.7617,45.5774
medium,0,14.6074,40.6378
medium,0,-43.0783,-22.8887
medium,3,115.5442,-8.7401
unknown,0,-123.8216,44.0601
small,0,-104.4111,44.4648
medium,0,145.6506,-16.73
unknown,0,-123.2631,46.057
medium,0,75.2382,33.241
medium,0,90.5034,27.5
large,10,-83.9451,10.0214
medium,0,-88.0843,13.293
unknown,0,-122.7736,45.5876
unknown,0,-122.3712,45.5298
medium,0,77.009,8.4557
medium,3,108.8115,15.1257
small,0,-117.6767,34.2008
medium,3,-0.0798,6.011
medium,0,94.1167,25.616
medium,,85.9742,27.978
medium,3,-99.2398,19.3161
large,0,178.4779,-17.8893
medium,0,44.8448,41.9757
medium,0,83.6182,28.2576
medium,0,77.9798,31.5639
small,0,141.7315,39.407
unknown,0,-122.4645,44.1221
medium,0,77.1213,31.0365
medium,0,119.0562,26.314
medium,0,43.1666,17.4012
large,16,35.5842,1.2495
small,1,78.6149,30.819
medium,,-85.3555,10.4024
unknown,0,-123.5561,44.1872
small,0,-122.3657,47.9918
medium,1,101.699,3.19
medium,3,173.9534,-39.1144
medium,1,103.8855,27.7482
large,6,43.7955,16.9664
small,,-106.8295,40.4613
medium,2,123.8421,13.1004
medium,0,73.1415,41.7649
small,0,-117.7994,34.2062
medium,0,-122.2619,47.9582
small,0,-83.0638,36.9284
medium,0,121.5399,25.0857
small,0,-123.5711,48.1389
medium,,-111.633,36.6468
medium,0,108.9881,11.989
medium,0,115.1648,4.5864
small,0,-89.5567,40.6545
large,2,114.0945,22.6194
medium,,-123.8673,43.6768
medium,7,-78.4359,-2.0398
small,0,-82.4939,37.4264
medium,0,-9.87,52.1596
medium,,120.8299,16.5505
small,,-82.4322,37.4072
medium,0,83.88,27.59
unknown,0,-121.6279,45.5974
medium,0,-123.6521,43.6712
medium,0,-7.332155031,54.99913875
medium,0,-123.0544,40.7331
medium,0,88.255,27.0605
unknown,0,-120.2668,44.9184
medium,0,94.1351,25.4769
medium,0,43.1066,17.2635
medium,2,102.1778,28.1018
medium,0,88.29184021,26.87324244
medium,0,115.1374,-8.1913
small,0,-123.7858,46.6689
unknown,0,-116.8344,45.5593
small,12,-4.0351,5.314
medium,1,75.7627,33.334
medium,,-105.3054,40.6862
medium,11,85.0249,27.4211
medium,8,110.8522,37.0016
medium,0,124.8955,6.1458
small,,-120.0477,48.3455
small,0,-82.4539,38.3632
medium,7,-4.05,5.4833
large,6,83.8713,28.9743
medium,0,108.3008,15.3012
medium,,75.1921061,33.33875958
small,0,-111.7619,46.6637
medium,4,98.4802,25.1424
medium,,-122.4629,37.7923
medium,0,-120.9229,46.8218
small,0,-119.4919,47.4097
medium,5,114.1384,26.6378
medium,0,74.158,36.1788
small,0,73.3747,18.7624
medium,0,81.7191,29.0399
medium,0,75.2373,33.2407
medium,,-82.5412,35.6057
