landslide_size,fatality_count,longitude,latitude,date,country_name,landslide_trigger,injuries,type
medium,1,74.93530189,33.01346369,6/30/2017 13:20,,rain,8,landslide
medium,0,121.8676602,24.54070891,5/29/2017 13:34,,mining,0,landslide
unknown,0,-123.7784,44.6394,10/25/2014 23:32,united states,unknown,0,landslide
small,0,93.54136779,27.05880384,6/21/2017 18:51,,rain,0,landslide
medium,0,80.160486,6.586835,5/26/2017 16:59,,continuous_rain,,landslide
small,0,-112.9584172,37.2111985,5/19/2017 20:14,,unknown,0,rock_fall
small,0,-1.959208202,53.72832063,6/5/2017 13:34,,rain,0,landslide
large,0,-122.2792711,51.97686189,6/19/2017 13:10,,rain,1,mudslide
medium,0,160.1781839,-9.632058442,6/5/2017 13:27,,rain,0,landslide
small,0,-61.03728637,13.94370273,6/20/2017 13:15,,unknown,0,rock_fall
small,0,111.145575,37.513392,8/15/2016 19:22,,rain,0,landslide
small,0,91.881892,25.907233,5/26/2017 16:59,,rain,3,landslide
large,23,-74.19608968,18.52049393,5/18/2017 13:15,,rain,,landslide
medium,0,94.11844319,25.67061161,6/2/2017 13:34,,continuous_rain,0,landslide
large,2,-65.46576609,-23.91300145,1/10/2017 14:27,,rain,5,landslide
medium,0,-91.89697611,15.12277305,6/14/2017 13:27,,earthquake,0,landslide
large,0,93.15020652,24.32420539,6/26/2017 13:20,,downpour,0,landslide
medium,0,-121.5287745,36.01490705,5/25/2017 13:27,,unknown,0,landslide
small,0,-112.122531,46.938003,5/22/2017 20:14,,unknown,0,rock_fall
medium,0,-80.73380758,40.00611531,6/10/2017 13:20,,unknown,0,landslide
small,0,-119.4860961,50.19859431,5/21/2017 20:14,,flooding,0,landslide
medium,2,92.16404889,22.59420297,6/12/2017 13:27,,rain,,landslide
medium,2,-96.40548584,16.08793756,6/1/2017 13:34,,tropical_cyclone,,landslide
medium,0,-5.672826814,56.87939325,8/11/2016 19:22,,continuous_rain,0,landslide
medium,9,80.60687667,6.093508095,5/25/2017 16:59,,rain,,landslide
